dataset,model,aicc,r2,adj_r2,rss,rmse,mae,enp,residual_morans_i,fit_seconds,regions,region_sizes
columbus,GR-GWR,332.9611953646727,0.9164872942539788,0.8766863806751408,1122.2620688472018,4.785740018794786,3.8416618696077767,15.492561667104386,-0.0981624899649968,0.0718926360000296,2.0,33;16
columbus,MGWR,360.3208088496032,0.9427190843197906,0.8703177071850656,769.7535166952312,3.963490310668088,3.295542020978974,26.79830859735216,-0.0897262493772594,0.4648694859999978,,
columbus,LG-GWR Joint,367.1422750948645,0.771363264066955,0.7055239253308433,3072.470637737837,7.91855304981996,6.102378816391667,10.731901608250997,0.0447206124965576,0.5139358050000737,,
columbus,SGWR,375.7653754136272,0.7170834547117619,0.6292950456190668,3801.894628966772,8.80850079783412,6.987129709216803,11.367109035503368,0.0317532374721838,0.0289777850000518,,
columbus,GWR,379.5214471194181,0.7961587841830272,0.6838507322468504,2739.262996397209,7.476852710672177,6.245631405132857,17.051396421849788,-0.0412539214884392,0.0095671960000345,,
columbus,OLS,381.2878109576316,0.5524040408374236,0.5329433469607898,6014.892735784363,11.07939136303033,8.804984694337818,3.0,0.0747122624120135,0.0002993709999827,,
columbus,LG-GWR Separable,383.6439007651328,0.5532020561663008,0.522827247888555,6004.16883064972,11.069510276808169,8.793094825346811,3.055477897428819,0.0743810062226601,0.2608553509999183,,
dublin_voter,GR-GWR,1800.444918869842,0.8672676185879079,0.8296393013837458,3230.908608759015,3.167629660637977,2.4020853696558864,70.90068261426839,-0.0161437852112861,0.93428846300003,3.0,178;103;41
dublin_voter,MGWR,1917.619461773089,0.7896584006666646,0.7409104842027177,5120.03534357066,3.987572053349535,3.022712659766668,60.39642760832655,-0.0315641684927931,13.15418930099986,,
dublin_voter,SGWR,1918.332393520056,0.7990280132641414,0.7422244146378222,4891.964682290663,3.897747670324978,2.9747616106163823,70.73577248764478,-0.0050217632910389,0.4478916699999899,,
dublin_voter,GWR,1922.0830321220828,0.8100634277105621,0.7499512403238321,4623.3458633042965,3.789223794761076,2.8847751482946693,77.16899766321623,-0.0224406758270877,0.0453504100000827,,
dublin_voter,LG-GWR Joint,1932.5239000422869,0.7461948802445006,0.7114810798110989,6178.003721783981,4.380222250304435,3.307050073306117,38.62183433871952,0.0592192440930979,6.316849441999921,,
dublin_voter,OLS,1997.727082482884,0.638262143137319,0.6290164471152697,8805.25116341504,5.229292543690793,4.01488768952094,9.0,0.1226056288745229,0.0003812630000084,,
dublin_voter,LG-GWR Separable,1999.8022665236824,0.6383362786276264,0.6278917243822235,8803.446592508522,5.228756663875884,4.014515428834272,9.010017063469412,0.1225814959533607,2.0732411940000475,,
ewhp,MGWR,11731.042616902076,0.904757319888904,0.8358312241398451,74098871593.06006,11948.740196334473,8565.12348083428,217.481780021472,-0.0636497993424549,44.94630856399999,,
ewhp,SGWR,11834.702657147418,0.8145182390199452,0.740470686303703,144304939483.8957,16674.65739950707,11741.658720306992,147.7930633758723,0.0960173736137593,1.16357352,,
ewhp,GWR,11863.331054481168,0.8285489662880501,0.7490942607012875,133389023877.7427,16031.581540847834,11320.67325080564,164.03585509434464,0.0699302318909529,0.0804171400000086,,
ewhp,LG-GWR Joint,11926.686798740486,0.703181939396688,0.6561536084711477,230924658288.60703,21093.63738496368,13994.697471493757,70.84755291778549,0.3192892888127072,8.54075326100019,,
ewhp,OLS,12097.232341350586,0.5017252688703342,0.4929149101666662,387658088547.8697,27330.07012857613,18484.39132746089,10.0,0.3991126802629907,0.0004650979999496,,
ewhp,LG-GWR Separable,12099.2719125145,0.5017787858451412,0.4919639411906034,387616452304.1219,27328.60240218107,18483.53390229387,10.007339917889585,0.3991314978117005,6.492681948000154,,
georgia,GR-GWR,778.5527909466182,0.8595026815554978,0.8107673806841897,717.1988882136035,2.1238372893261146,1.528243362653703,40.691597281205794,-0.0395359235854492,0.1946911449999788,3.0,48;91;20
georgia,MGWR,811.2835192264847,0.8473564157098805,0.7775728553772816,779.2021239825806,2.213739435705706,1.64985395924626,49.57040001233945,-0.0211753187141718,3.101685494999856,,
georgia,LG-GWR Joint,822.6373935474177,0.7354793144658325,0.7036540903676427,1350.3029358495824,2.9141844990754207,2.015448775419906,16.967959550216662,0.041408616930026,1.6091684010000336,,
georgia,SGWR,832.7380750040348,0.7287656259112727,0.6875379709054634,1384.5744082196738,2.950934622460432,2.094691159024212,20.847235453838223,0.0287137677409538,0.1554727409998122,,
georgia,GWR,859.9111231385908,0.7301742118021624,0.6574111059969567,1377.383977497692,2.9432621886787858,2.04471231153201,33.557920056568946,-0.0206338848359823,0.0204116940001313,,
georgia,OLS,874.7113008150365,0.587084110610552,0.5735901272971713,2107.818284893619,3.6409777221119937,2.494970946071864,6.0,0.0429590730026026,0.0004165140001077,,
georgia,LG-GWR Separable,876.8746229319592,0.5871733810135825,0.5708555365100979,2107.362584852417,3.6405841200171247,2.4947240385367047,6.007812405603228,0.0429414309942989,0.8347428760000639,,
