dataset,model,aicc,adj_r2,rss,rmse,mae,enp,residual_morans_i,fit_seconds,regions,region_sizes
columbus,GR-GWR,332.9611953646727,0.8766863806751408,1122.2620688472018,4.785740018794786,3.8416618696077767,15.492561667104386,-0.0981624899649968,0.0718926360000296,2.0,33;16
columbus,GWR,379.5214471194181,0.6838507322468504,2739.262996397209,7.476852710672177,6.245631405132857,17.051396421849788,-0.0412539214884392,0.0095671960000345,,
columbus,GWR Coef + K-means,372.6590830185525,0.6316826611880122,4330.838081290865,9.40130047592295,7.55108524927393,6.0,0.1187708267785335,2.646472691999861,2.0,34;15
columbus,OLS,381.2878109576316,0.5329433469607898,6014.892735784363,11.07939136303033,8.804984694337818,3.0,0.0747122624120135,0.0002993709999827,,
columbus,Regionally GWR,394.2879938690672,0.5533001444339833,4444.590709377687,9.523966234948682,7.768890429353672,12.460159889307445,0.0340183920619357,3.280429672000082,2.0,24;25
dublin_voter,GR-GWR,1800.444918869842,0.8296393013837458,3230.908608759015,3.167629660637977,2.4020853696558864,70.90068261426839,-0.0161437852112861,0.93428846300003,3.0,178;103;41
dublin_voter,GWR,1922.0830321220828,0.7499512403238321,4623.3458633042965,3.789223794761076,2.8847751482946693,77.16899766321623,-0.0224406758270877,0.0453504100000827,,
dublin_voter,GWR Coef + K-means,1972.228291355352,0.6783026492795747,7171.955224420039,4.719444127317293,3.6348492435448336,27.0,0.04375841137925,5.027133491999848,3.0,146;51;125
dublin_voter,OLS,1997.727082482884,0.6290164471152697,8805.25116341504,5.229292543690793,4.01488768952094,9.0,0.1226056288745229,0.0003812630000084,,
dublin_voter,Regionally GWR,1981.648262024912,0.7322489505903874,5106.581299297971,3.982329485924758,3.063544866158024,69.48938795491361,-0.009466302065875,8.33029496800009,3.0,84;73;165
georgia,GR-GWR,778.5527909466182,0.8107673806841897,717.1988882136035,2.1238372893261146,1.528243362653703,40.691597281205794,-0.0395359235854492,0.1946911449999788,3.0,48;91;20
georgia,GWR,859.9111231385908,0.6574111059969567,1377.383977497692,2.9432621886787858,2.04471231153201,33.557920056568946,-0.0206338848359823,0.0204116940001313,,
georgia,GWR Coef + K-means,858.2129055785695,0.6484902165786854,1589.9370807221103,3.1622150909245774,2.234335523486348,18.0,-0.0056391710824856,1.8851886880001985,3.0,26;79;54
georgia,OLS,874.7113008150365,0.5735901272971713,2107.818284893619,3.6409777221119937,2.494970946071864,6.0,0.0429590730026026,0.0004165140001077,,
georgia,Regionally GWR,895.762457665242,0.6548925041459353,1312.0279773284767,2.872585644516932,1.9672162600846643,40.32770652350609,-0.0330780217656471,2.159095443999832,3.0,65;48;46
housing_gr1000,GR-GWR,26330.629681155315,0.8923284380193109,10448566143868.977,102218.22804113252,69820.79353230252,221.7061758849736,0.037452567740881,7.991763444999833,3.0,38;278;684
housing_gr1000,GWR,26789.79443269164,0.8283516695180684,16747883539817.262,129413.61419811002,81974.16242805055,217.4623895006862,0.0336898241346434,0.2350411590000476,,
housing_gr1000,GWR Coef + K-means,28575.984485036992,-0.1818381979408647,144300336309627.72,379868.840930166,190232.47146427337,21.0,0.315905122149244,6.583028343000024,3.0,763;136;101
housing_gr1000,OLS,27710.06734253847,0.4960283352471425,62477815139186.016,249955.6263403287,164937.05469752286,7.0,0.3927825350069401,0.0004857479998463,,
housing_gr1000,Regionally GWR,26944.38057643565,0.8245697246210052,17265128846154.111,131396.83727607035,83025.29724484879,210.69403508889172,0.026211615912117,5.330928993000271,3.0,234;309;457
